Time,max(Result),min(Result)
4.68e-08,1.0498e+06,-3.47109e+07
4.69e-08,1.05416e+06,-3.47438e+07
4.7e-08,1.0398e+06,-3.47774e+07
4.71e-08,1.03744e+06,-3.47721e+07
4.72e-08,1.03995e+06,-3.47214e+07
4.73e-08,1.04173e+06,-3.47166e+07
4.74e-08,1.04225e+06,-3.47519e+07
4.75e-08,1.03112e+06,-3.47877e+07
4.76e-08,1.0283e+06,-3.47896e+07
4.77e-08,1.04068e+06,-3.47359e+07
4.78e-08,1.03689e+06,-3.47093e+07
4.79e-08,1.03137e+06,-3.47549e+07
4.8e-08,1.03344e+06,-3.47759e+07
4.81e-08,1.03434e+06,-3.47741e+07
4.82e-08,1.03197e+06,-3.47601e+07
4.83e-08,1.02166e+06,-3.47232e+07
4.84e-08,1.02092e+06,-3.47572e+07
4.85e-08,1.03182e+06,-3.47693e+07
4.86e-08,1.03911e+06,-3.47626e+07
4.87e-08,1.03705e+06,-3.4754e+07
4.88e-08,1.0191e+06,-3.47488e+07
4.89e-08,1.01129e+06,-3.47586e+07
4.9e-08,1.01312e+06,-3.47904e+07
4.91e-08,1.01466e+06,-3.48046e+07
4.92e-08,1.01436e+06,-3.48e+07
4.93e-08,1.01147e+06,-3.47751e+07
4.94e-08,1.00508e+06,-3.4752e+07
4.95e-08,997514,-3.48006e+07
4.96e-08,993481,-3.4835e+07
4.97e-08,990272,-3.4848e+07
4.98e-08,1.00339e+06,-3.48016e+07
4.99e-08,998548,-3.47603e+07
5e-08,992493,-3.4791e+07
5.01e-08,986180,-3.48359e+07
5.02e-08,981729,-3.48573e+07
5.03e-08,983172,-3.4846e+07
5.04e-08,982955,-3.48029e+07
5.05e-08,984241,-3.47849e+07
5.06e-08,972281,-3.48396e+07
5.07e-08,973521,-3.48644e+07
5.08e-08,971861,-3.48688e+07
5.09e-08,984168,-3.48221e+07
5.1e-08,975250,-3.47841e+07
5.11e-08,974572,-3.48195e+07
5.12e-08,976792,-3.48461e+07
5.13e-08,977218,-3.48572e+07
5.14e-08,976437,-3.48455e+07
5.15e-08,979967,-3.4803e+07
5.16e-08,964576,-3.48114e+07
5.17e-08,966869,-3.48471e+07
5.18e-08,968322,-3.48652e+07
5.19e-08,968224,-3.48642e+07
5.2e-08,965688,-3.48447e+07
5.21e-08,962193,-3.48013e+07
5.22e-08,951727,-3.48502e+07
5.23e-08,947971,-3.4889e+07
5.24e-08,945445,-3.49048e+07
5.25e-08,957688,-3.48746e+07
5.26e-08,954349,-3.4838e+07
5.27e-08,946521,-3.48318e+07
5.28e-08,941680,-3.48813e+07
5.29e-08,937009,-3.49117e+07
5.3e-08,935990,-3.49157e+07
5.31e-08,948005,-3.48704e+07
5.32e-08,939465,-3.48355e+07
5.33e-08,933996,-3.48682e+07
5.34e-08,930398,-3.49087e+07
5.35e-08,927993,-3.49267e+07
5.36e-08,941592,-3.48891e+07
5.37e-08,937217,-3.48664e+07
5.38e-08,929721,-3.4846e+07
5.39e-08,924711,-3.4892e+07
5.4e-08,933079,-3.4906e+07
5.41e-08,933228,-3.49104e+07
5.42e-08,931070,-3.48985e+07
5.43e-08,930352,-3.48573e+07
5.44e-08,923747,-3.48689e+07
5.45e-08,933503,-3.48871e+07
5.46e-08,938594,-3.48937e+07
5.47e-08,925566,-3.49159e+07
5.48e-08,912372,-3.49045e+07
5.49e-08,914354,-3.48597e+07
5.5e-08,907423,-3.49034e+07
5.51e-08,915708,-3.49224e+07
5.52e-08,916523,-3.49289e+07
5.53e-08,914768,-3.49257e+07
5.54e-08,910558,-3.4897e+07
5.55e-08,903717,-3.4879e+07
5.56e-08,906162,-3.49165e+07
5.57e-08,907647,-3.49365e+07
5.58e-08,907849,-3.49392e+07
5.59e-08,905292,-3.49302e+07
5.6e-08,896314,-3.49018e+07
5.61e-08,891035,-3.49094e+07
5.62e-08,888030,-3.49531e+07
5.63e-08,885656,-3.49781e+07
5.64e-08,898717,-3.49508e+07
5.65e-08,904626,-3.49206e+07
5.66e-08,889202,-3.48973e+07
5.67e-08,894444,-3.49111e+07
5.68e-08,902833,-3.49268e+07
5.69e-08,905423,-3.49321e+07
5.7e-08,890013,-3.49587e+07
5.71e-08,893184,-3.49251e+07
5.72e-08,878701,-3.48981e+07
5.73e-08,881168,-3.49388e+07
5.74e-08,882823,-3.49632e+07
5.75e-08,882593,-3.49753e+07
5.76e-08,881124,-3.49661e+07
5.77e-08,876422,-3.49378e+07
5.78e-08,871280,-3.49171e+07
5.79e-08,873583,-3.49543e+07
5.8e-08,874966,-3.49754e+07
5.81e-08,874759,-3.49816e+07
5.82e-08,872282,-3.49717e+07
5.83e-08,863606,-3.49461e+07
5.84e-08,871682,-3.49227e+07
5.85e-08,876666,-3.49485e+07
5.86e-08,880319,-3.49626e+07
5.87e-08,866453,-3.49906e+07
5.88e-08,863505,-3.4977e+07
5.89e-08,857294,-3.49465e+07
5.9e-08,862924,-3.4942e+07
5.91e-08,858346,-3.49809e+07
5.92e-08,859359,-3.49953e+07
5.93e-08,858227,-3.49995e+07
5.94e-08,862897,-3.49722e+07
5.95e-08,847963,-3.4952e+07
5.96e-08,842188,-3.49745e+07
5.97e-08,838209,-3.50158e+07
5.98e-08,837800,-3.50338e+07
5.99e-08,850058,-3.50082e+07
6e-08,839030,-3.49987e+07
6.01e-08,840192,-3.49499e+07
6.02e-08,848998,-3.49607e+07
6.03e-08,855992,-3.49787e+07
