time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
6.39999674846e-09,-1e+300,1.7929031787100002e-23,3.21382046748e-25,(1.92341178878e-11 -3.56933821523e-28 -4.32266544328e-13),6.39999674846e-09,0.0,0.0,-9.92865519328e-08,2.31410812705e-11,-5.89253063337e-28,0.0,1.83196211265e-11,3.27319462543e-25,1.78960316515e-11,6.4e-09,1.45867e-07,1.44823e-07
6.50000520211e-09,-1e+300,1.78810433965e-23,3.2196281778099998e-25,(1.92516454483e-11 -6.30431261925e-28 -4.28244653716e-13),6.50000520211e-09,0.0,0.0,-1.00060285584e-07,2.31372314809e-11,-9.75767789804e-28,0.0,1.83199928158e-11,2.80603165281e-25,1.78837200546e-11,6.50001e-09,1.45689e-07,1.44648e-07
6.59999803226e-09,-1e+300,1.78337171952e-23,3.22350801392e-25,(1.92744324097e-11 -7.39661641934e-28 -4.25625253451e-13),6.59999803226e-09,0.0,0.0,-1.0114832923e-07,2.31339868914e-11,-1.30502124942e-27,0.0,1.83203665263e-11,2.39705305314e-25,1.7870295462e-11,6.6e-09,1.4551e-07,1.44468e-07
6.70000374168e-09,-1e+300,1.7776372005700002e-23,3.22701712789e-25,(1.92785236593e-11 -9.20373486165e-28 -4.22447134471e-13),6.70000374168e-09,0.0,0.0,-1.01992913111e-07,2.31136673391e-11,-1.55739093769e-27,0.0,1.83207507332e-11,2.0409051801299999e-25,1.78584666492e-11,6.7e-09,1.45334e-07,1.44292e-07
6.80000292215e-09,-1e+300,1.7735950674600002e-23,3.23221306434e-25,(1.93110732265e-11 -1.07502774914e-27 -4.19486744865e-13),6.80000292215e-09,0.0,0.0,-1.03476169407e-07,2.31242737157e-11,-1.66291745361e-27,0.0,1.83211387953e-11,1.73210792488e-25,1.78455545193e-11,6.8e-09,1.45157e-07,1.44117e-07
6.90000119065e-09,-1e+300,1.7670712111100002e-23,3.2327283917e-25,(1.93011577666e-11 -1.12777390101e-27 -4.16666022766e-13),6.90000119065e-09,0.0,0.0,-1.04633796839e-07,2.30850865014e-11,-1.60033159239e-27,0.0,1.83215327503e-11,1.46492776594e-25,1.78338483415e-11,6.9e-09,1.44982e-07,1.43939e-07
6.99999712491e-09,-1e+300,1.76393706727e-23,3.24142989144e-25,(1.93423467155e-11 -1.09873607328e-27 -4.13656162901e-13),6.99999712491e-09,0.0,0.0,-1.05160531979e-07,2.31141656082e-11,-1.30511521116e-27,0.0,1.83219341216e-11,1.23401922591e-25,1.78217605712e-11,7e-09,1.44808e-07,1.43768e-07
7.09999678108e-09,-1e+300,1.7577386917400002e-23,3.24319070964e-25,(1.93399819996e-11 -9.06314778175e-28 -4.11857180761e-13),7.09999678108e-09,0.0,0.0,-1.0585041933e-07,2.30895586517e-11,-1.00852415141e-27,0.0,1.83223357959e-11,1.03555130328e-25,1.78098888274e-11,7.1e-09,1.44634e-07,1.43588e-07
7.20000538543e-09,-1e+300,1.75394788171e-23,3.2497853393e-25,(1.93682582424e-11 -4.88165707615e-28 -4.08915275926e-13),7.20000538543e-09,0.0,0.0,-1.06683347397e-07,2.31004633214e-11,-4.19345813889e-28,0.0,1.83227465786e-11,8.651225013340001e-26,1.77987743267e-11,7.2e-09,1.44462e-07,1.43422e-07
7.29999873395e-09,-1e+300,1.74878832116e-23,3.25196371549e-25,(1.93797013971e-11 5.82423078815e-29 -4.06510103164e-13),7.29999873395e-09,0.0,0.0,-1.08034735902e-07,2.30860860339e-11,2.1175310346400003e-28,0.0,1.83231570472e-11,7.18591708625e-26,1.77869033706e-11,7.3e-09,1.44289e-07,1.43246e-07
