Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
4.6e-09,1.49378e-07,1.49014e-07,1.50019e-07,1.49014e-07,4.60000311961e-09,-1e+300,1.5484952773e-23,2.83098608095e-25,(1.76609978342e-11 1.3733374146e-27 -4.9139928282e-13),4.60000311961e-09,0.0,0.0,-6.97109907665e-08,2.21002263568e-11,8.43916794245e-28,0.0,1.75941970058e-11,2.41403948673e-25,1.7451754489e-11
4.7e-09,1.49191e-07,1.48827e-07,1.49834e-07,1.48827e-07,4.7000022435e-09,-1e+300,1.54387673302e-23,2.83379341997e-25,(1.76666779826e-11 8.65661205424e-28 -4.85613538187e-13),4.7000022435e-09,0.0,0.0,-7.05659997898e-08,2.2072628655e-11,3.76872104723e-28,0.0,1.75915766131e-11,3.10926892074e-25,1.74296180449e-11
4.8e-09,1.49011e-07,1.48647e-07,1.49652e-07,1.48647e-07,4.79999959624e-09,-1e+300,1.54198516692e-23,2.84054083392e-25,(1.77119982479e-11 6.42332404913e-28 -4.82532752224e-13),4.79999959624e-09,0.0,0.0,-7.18090523755e-08,2.20920656852e-11,2.65827767418e-28,0.0,1.75892716464e-11,3.71318119204e-25,1.74085844474e-11
4.9e-09,1.48828e-07,1.48463e-07,1.49468e-07,1.48463e-07,4.90000261439e-09,-1e+300,1.53738079522e-23,2.84402246652e-25,(1.77236394228e-11 4.88232478646e-28 -4.78151192585e-13),4.90000261439e-09,0.0,0.0,-7.22714945261e-08,2.20762856717e-11,3.28429157781e-28,0.0,1.7587389527e-11,4.2530046219000005e-25,1.73877495834e-11
5e-09,1.48648e-07,1.48283e-07,1.49288e-07,1.48283e-07,4.99999667033e-09,-1e+300,1.53543641568e-23,2.85121224976e-25,(1.77577338187e-11 5.77974176446e-28 -4.73833766975e-13),4.99999667033e-09,0.0,0.0,-7.30641069689e-08,2.20872342695e-11,6.138614848290001e-28,0.0,1.75857957559e-11,4.75699281716e-25,1.73683373314e-11
5.1e-09,1.48468e-07,1.48103e-07,1.49107e-07,1.48103e-07,5.09999917533e-09,-1e+300,1.53129716585e-23,2.8541154406799998e-25,(1.77786286559e-11 6.33453034154e-28 -4.71094681725e-13),5.09999917533e-09,0.0,0.0,-7.39574946391e-08,2.2080506919e-11,9.64606742302e-28,0.0,1.75844653893e-11,5.24912947896e-25,1.73485299783e-11
5.2e-09,1.48289e-07,1.47923e-07,1.48929e-07,1.47923e-07,5.19999913084e-09,-1e+300,1.5289023518400002e-23,2.8602266991000003e-25,(1.78010656054e-11 7.36820634921e-28 -4.66290969442e-13),5.19999913084e-09,0.0,0.0,-7.48267590166e-08,2.20770838517e-11,1.17785963048e-27,0.0,1.75834769225e-11,5.74466257749e-25,1.73305076957e-11
5.3e-09,1.48112e-07,1.47747e-07,1.48751e-07,1.47747e-07,5.29999580069e-09,-1e+300,1.52594974784e-23,2.86482932245e-25,(1.78314141951e-11 7.4328649758e-28 -4.64332541729e-13),5.29999580069e-09,0.0,0.0,-7.56726073138e-08,2.20839375188e-11,1.39768488424e-27,0.0,1.75827144945e-11,6.24696996989e-25,1.73117955471e-11
5.39999e-09,1.47933e-07,1.47567e-07,1.48573e-07,1.47567e-07,5.39999493688e-09,-1e+300,1.52235526131e-23,2.86871351401e-25,(1.78397307692e-11 7.49992307964e-28 -4.59398216193e-13),5.39999493688e-09,0.0,0.0,-7.65040718756e-08,2.20645493738e-11,1.40750923468e-27,0.0,1.75823198494e-11,6.74263478706e-25,1.7294999335e-11
5.5e-09,1.47759e-07,1.47394e-07,1.48398e-07,1.47394e-07,5.49999798059e-09,-1e+300,1.5205485898000002e-23,2.87432627501e-25,(1.78810891185e-11 7.08620967979e-28 -4.57264705164e-13),5.49999798059e-09,0.0,0.0,-7.75101526024e-08,2.20834402249e-11,1.31450679926e-27,0.0,1.75820777455e-11,7.20749141439e-25,1.7277419023e-11
