Time,max(CACoordsX),min(CACoordsX),max(Result),min(Result),max(coordsX),min(coordsX)
2.37e-08,1.22149e-07,1.21877e-07,1710460.0,-32474600.0,1.22929e-07,1.21877e-07
2.38e-08,1.22042e-07,1.21774e-07,1706190.0,-32490300.0,1.22823e-07,1.21774e-07
2.39e-08,1.21938e-07,1.21666e-07,1681060.0,-32485900.0,1.22719e-07,1.21666e-07
2.4e-08,1.21836e-07,1.2156e-07,1685200.0,-32482000.0,1.22615e-07,1.2156e-07
2.41e-08,1.21732e-07,1.2146e-07,1692160.0,-32511900.0,1.22511e-07,1.2146e-07
2.42e-08,1.21624e-07,1.21357e-07,1684590.0,-32527700.0,1.22407e-07,1.21357e-07
2.43e-08,1.21522e-07,1.21249e-07,1690910.0,-32463800.0,1.22303e-07,1.21249e-07
2.44e-08,1.21421e-07,1.21145e-07,1672440.0,-32512800.0,1.22201e-07,1.21145e-07
2.45e-08,1.21317e-07,1.21046e-07,1673880.0,-32547800.0,1.22098e-07,1.21046e-07
2.46e-08,1.2121e-07,1.20943e-07,1664650.0,-32557500.0,1.21994e-07,1.20943e-07
2.47e-08,1.21109e-07,1.20835e-07,1636780.0,-32551200.0,1.21891e-07,1.20835e-07
2.48e-08,1.21009e-07,1.20734e-07,1654920.0,-32550100.0,1.21789e-07,1.20734e-07
2.49e-08,1.20905e-07,1.20635e-07,1655690.0,-32583700.0,1.21687e-07,1.20635e-07
2.5e-08,1.20799e-07,1.20532e-07,1650670.0,-32582200.0,1.21584e-07,1.20532e-07
2.51e-08,1.207e-07,1.20425e-07,1637980.0,-32518100.0,1.21482e-07,1.20425e-07
2.52e-08,1.206e-07,1.20325e-07,1637610.0,-32585000.0,1.21381e-07,1.20325e-07
2.53e-08,1.20497e-07,1.20227e-07,1638750.0,-32612600.0,1.21279e-07,1.20227e-07
2.54e-08,1.20391e-07,1.20124e-07,1639070.0,-32604000.0,1.21177e-07,1.20124e-07
2.55e-08,1.20293e-07,1.20018e-07,1634990.0,-32550600.0,1.21076e-07,1.20018e-07
2.56e-08,1.20193e-07,1.1992e-07,1620370.0,-32618400.0,1.20975e-07,1.1992e-07
2.57e-08,1.20091e-07,1.19821e-07,1620650.0,-32650600.0,1.20874e-07,1.19821e-07
2.58e-08,1.19987e-07,1.19719e-07,1614900.0,-32647000.0,1.20773e-07,1.19719e-07
2.59e-08,1.19889e-07,1.19613e-07,1599310.0,-32614100.0,1.20673e-07,1.19613e-07
2.6e-08,1.1979e-07,1.19517e-07,1603240.0,-32650300.0,1.20573e-07,1.19517e-07
2.61e-08,1.19689e-07,1.19419e-07,1604190.0,-32677000.0,1.20472e-07,1.19419e-07
2.62e-08,1.19585e-07,1.19318e-07,1604510.0,-32669100.0,1.20371e-07,1.19318e-07
2.63e-08,1.19489e-07,1.19212e-07,1600930.0,-32616900.0,1.20272e-07,1.19212e-07
2.64e-08,1.1939e-07,1.19116e-07,1586280.0,-32680300.0,1.20173e-07,1.19116e-07
2.65e-08,1.19289e-07,1.19019e-07,1586990.0,-32710700.0,1.20073e-07,1.19019e-07
